id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18666,Flat with Sunny Terrace,71615,Mireia And Maria,Sant Martí,el Camp de l'Arpa del Clot,41.40888621158034,2.1855453256058017,Entire home/apt,130,3,1,2015-10-10,0.03,33,26
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.404196784819064,2.1730577177402504,Entire home/apt,320,1,5,2018-06-18,0.08,33,102
21605,Nice and sunny duble room,82522,Meritxell,Sant Martí,el Poblenou,41.4056041572247,2.19820512273065,Private room,33,2,95,2018-09-19,3.22,3,296
25786,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,108310,Pedro,Gràcia,la Vila de Gràcia,41.40145195404779,2.156446514416526,Private room,31,1,212,2018-10-03,2.13,1,38
31377,"Room for 2,  Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.41096940955444,2.1707012064871583,Private room,42,3,4,2018-03-12,0.10,3,193
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.410900426326464,2.1708189126808017,Private room,53,3,38,2018-04-04,0.94,3,211
31823,"Aribau, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.387305807180255,2.159071821611301,Entire home/apt,70,1,60,2018-09-23,0.61,24,323
31958,"Gaudi Attic 1, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40949767562464,2.1593760044263988,Entire home/apt,65,1,148,2018-09-25,1.59,24,327
32471,"Gaudi Attic 2, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.409282448808995,2.1611176368188154,Entire home/apt,90,1,67,2018-08-04,0.71,24,334
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.404635812260686,2.169537931472452,Entire home/apt,140,2,45,2018-08-22,0.51,13,337
32868,"Sant Joan 4, Friendly Rentals",136853,Fidelio,Eixample,la Dreta de l'Eixample,41.395757583681075,2.1743191844527967,Entire home/apt,100,1,93,2018-09-18,0.95,24,0
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.3791695359138,2.1755459205559347,Entire home/apt,500,4,123,2018-09-23,1.26,1,229
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390292371929434,2.1526776655400943,Private room,40,2,201,2018-10-04,2.51,4,309
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390584087316824,2.151896791679498,Private room,30,2,172,2018-09-19,1.92,4,315
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39146706179137,2.1511848274650394,Private room,30,2,167,2018-09-30,2.14,4,317
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39075231772431,2.1507170864108045,Private room,45,2,133,2018-10-01,2.68,4,331
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906404797985,2.191414374177489,Private room,31,2,49,2018-09-06,0.57,1,361
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39559668113324,2.167606582682667,Entire home/apt,95,3,103,2018-10-07,1.16,5,302
45682,HUGE APARTMENT IN SAGRADA FAMILIA,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40470596794909,2.170120076942332,Entire home/apt,180,3,67,2018-08-30,0.95,1,0
46153,"CHIC BORN, APARTMENT, GREAT LOCATION , FREE WIFI",90417,Etain,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776152188562,2.1778245041531954,Entire home/apt,43,180,2,2018-09-30,0.02,1,251
49213,"Descalzos en el parque, relaxing and  cool room",208154,Cate,Sants-Montjuïc,el Poble Sec,41.373151109271184,2.1664006033038836,Private room,35,3,41,2018-10-01,0.65,2,75
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40630655659375,2.1694475567849967,Entire home/apt,140,2,30,2018-09-20,0.34,13,331
50066,Sagrada Familia area - Sardenya 1,135703,Nick,Eixample,el Fort Pienc,41.39820673239579,2.1796556814819024,Entire home/apt,180,2,45,2018-08-22,0.51,13,272
58512,Stylish & cozy 3bed near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.410990047567786,2.1811883117959634,Entire home/apt,75,2,340,2018-09-22,3.72,1,82
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3890083942644,2.1655162637312255,Entire home/apt,105,2,36,2018-08-25,0.58,5,294
66037,Great apartment in  en el Born,323105,Amivelaz,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38322098271626,2.182339750582178,Entire home/apt,150,3,87,2018-09-04,0.93,1,320
67065,"Londres, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.39161026378198,2.150890219232701,Entire home/apt,85,1,51,2018-08-20,0.58,24,313
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.38071988862891,2.1781089116350247,Private room,47,2,60,2018-09-23,0.66,1,365
70099,"Room with a View, Bcn City Center",353987,Alex,Ciutat Vella,el Raval,41.378284332844,2.1708049698328726,Private room,44,1,277,2018-10-07,2.98,1,303
70333,Stylish+cozy home/parking/CCIB/WIFI,266650,Vanessa,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40905244967483,2.2124339822802703,Entire home/apt,90,32,124,2018-03-04,1.59,1,90
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41836809465224,2.134191605761801,Entire home/apt,250,7,1,2011-06-23,0.01,1,299
71553,Penthouse -20% off this week,366654,Arian Watermelon Barcelona!,Eixample,el Fort Pienc,41.39740375606598,2.1768202149260754,Entire home/apt,110,2,46,2018-08-19,0.50,9,310
71603,MODERNIST PENTHOUSE. 1bedroom apt with terrace,366654,Arian Watermelon Barcelona!,Eixample,la Dreta de l'Eixample,41.390379533157926,2.1760633161656253,Entire home/apt,390,2,36,2018-06-16,0.39,9,365
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39837413386731,2.206234352358284,Entire home/apt,1000,3,54,2018-10-09,1.07,5,355
73455,RAMBLAS ORCHID2 FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38422257403041,2.1670092261839797,Entire home/apt,120,3,77,2018-09-17,1.18,16,295
73643,Salva B1 - VivoBarcelona Apts.,385249,Joel,Sants-Montjuïc,el Poble Sec,41.37196340924213,2.1638551485993394,Entire home/apt,189,3,17,2018-09-12,0.40,11,225
